key	file	line	en	zh-TW	zh-CN	raw
sysmenu.suspend	Components/EarlyMenu.cs;Components/CommandMenus/PlayerMenu.cs	85;811	Suspend	中斷存檔	中断存档	
sysmenu.delete_data	Components/EarlyMenu.cs;Components/CommandMenus/PlayerMenu.cs	86;812	Delete Data	刪除資料	删除数据	
sysmenu.load_data	Components/EarlyMenu.cs;Components/CommandMenus/PlayerMenu.cs	87;813	Load Data	載入資料	读取数据	
sysmenu.return_to_title	Components/EarlyMenu.cs;Components/CommandMenus/PlayerMenu.cs	88;814	Return to Title	返回標題畫面	返回标题画面	
sysmenu.end_game	Components/EarlyMenu.cs;Components/CommandMenus/PlayerMenu.cs	89;815	End Game	結束遊戲	结束游戏	
sysmenu.option_n	Components/EarlyMenu.cs;Components/CommandMenus/PlayerMenu.cs	90;816	Option {0}	選項 {0}	选项 {0}	$"Option {id}"
cfgmenu.tab.audio	Components/ConfigMenu.cs	60	Audio	音訊	音频	
cfgmenu.tab.game	Components/ConfigMenu.cs	60	Game	遊戲	游戏	
cfgmenu.tab.graphics	Components/ConfigMenu.cs	60	Graphics	畫質	画质	
cfgmenu.tab.display	Components/ConfigMenu.cs	60	Display	顯示	显示	
cfgmenu.tab.keyboard	Components/ConfigMenu.cs	60	Keyboard	鍵盤	键盘	
cfgmenu.tab.controller	Components/ConfigMenu.cs	60	Controller	手把	手柄	
cfgmenu.confirm	Components/ConfigMenu.cs	38	Confirm	確認	确认	
cfgmenu.bgm	Components/ConfigMenu.cs	38	BGM	BGM	BGM	
cfgmenu.se	Components/ConfigMenu.cs	38	SE	SE	SE	
cfgmenu.voice	Components/ConfigMenu.cs	38	Voice	語音	语音	
cfgmenu.voiced_line	Components/ConfigMenu.cs	38	Voiced Line	語音台詞	语音台词	
cfgmenu.audio_language	Components/ConfigMenu.cs	38	Audio Language	語音語言	语音语言	
cfgmenu.sound_output_device	Components/ConfigMenu.cs	38	Sound Output Device	音訊輸出裝置	声音输出设备	
cfgmenu.auto_text	Components/ConfigMenu.cs	42	Auto Text	自動文字	自动文字	
cfgmenu.cursor_position_memory	Components/ConfigMenu.cs	42	Cursor Position Memory	游標位置記憶	光标位置记忆	
cfgmenu.battle_order_memory	Components/ConfigMenu.cs	42	Battle Order Memory	戰鬥指令記憶	战斗指令记忆	
cfgmenu.equipped_persona_memory	Components/ConfigMenu.cs	42	Equipped Persona Memory	裝備人格面具記憶	装备人格面具记忆	
cfgmenu.program_guide_notification	Components/ConfigMenu.cs	42	Program Guide Notification	節目表通知	节目表通知	
cfgmenu.inverted_camera	Components/ConfigMenu.cs	42	Inverted Camera	鏡頭反轉	镜头反转	
cfgmenu.camera_speed	Components/ConfigMenu.cs	42	Camera Speed	鏡頭速度	镜头速度	
cfgmenu.network_function	Components/ConfigMenu.cs	42	Network Function	網路功能	网络功能	
cfgmenu.anime_subtitles	Components/ConfigMenu.cs	42	Anime Subtitles	動畫字幕	动画字幕	
cfgmenu.presets	Components/ConfigMenu.cs	47	Presets	預設組合	预设方案	
cfgmenu.rendering_scale	Components/ConfigMenu.cs	47	Rendering Scale	渲染比例	渲染比例	
cfgmenu.shadow_quality	Components/ConfigMenu.cs	47	Shadow Quality	陰影品質	阴影质量	
cfgmenu.shadow	Components/ConfigMenu.cs	47	Shadow	陰影	阴影	
cfgmenu.anisotropic_filter	Components/ConfigMenu.cs	47	Anisotropic Filter	各向異性過濾	各向异性过滤	
cfgmenu.anti_aliasing	Components/ConfigMenu.cs	47	Anti Aliasing	反鋸齒	抗锯齿	
cfgmenu.contrast	Components/ConfigMenu.cs	47	Contrast	對比度	对比度	
cfgmenu.resolution	Components/ConfigMenu.cs	49	Resolution	解析度	分辨率	
cfgmenu.monitor	Components/ConfigMenu.cs	49	Monitor	螢幕	显示器	
cfgmenu.screen_mode	Components/ConfigMenu.cs	49	Screen Mode	螢幕模式	屏幕模式	
cfgmenu.vsync	Components/ConfigMenu.cs	49	V Sync	垂直同步	垂直同步	
cfgmenu.fps_limit	Components/ConfigMenu.cs	49	FPS Limit	FPS 上限	FPS 上限	
cfgmenu.move_forward	Components/ConfigMenu.cs	53;56	Character Movement(Forward)	角色移動（前）	角色移动（前）	
cfgmenu.move_back	Components/ConfigMenu.cs	53;56	Character Movement(Back)	角色移動（後）	角色移动（后）	
cfgmenu.move_left	Components/ConfigMenu.cs	53;56	Character Movement(Left)	角色移動（左）	角色移动（左）	
cfgmenu.move_right	Components/ConfigMenu.cs	53;56	Character Movement(Right)	角色移動（右）	角色移动（右）	
cfgmenu.confirm_action	Components/ConfigMenu.cs	53;56	Confirm, Action	確認、行動	确认、行动	
cfgmenu.cancel	Components/ConfigMenu.cs	53;56	Cancel	取消	取消	
cfgmenu.2d_display	Components/ConfigMenu.cs	53	2D Display	2D 顯示	2D 显示	
cfgmenu.command_menu	Components/ConfigMenu.cs	53;56	Command Menu	指令選單	指令菜单	
cfgmenu.sub_menu	Components/ConfigMenu.cs	53;56	Sub Menu	子選單	子菜单	
cfgmenu.rotate_camera_left	Components/ConfigMenu.cs	53;56	Rotate Camera(Left)	旋轉鏡頭（左）	旋转镜头（左）	
cfgmenu.rotate_camera_right	Components/ConfigMenu.cs	53;56	Rotate Camera(Right)	旋轉鏡頭（右）	旋转镜头（右）	
cfgmenu.center_camera	Components/ConfigMenu.cs	53;56	Center Camera	鏡頭置中	镜头居中	
cfgmenu.button_display	Components/ConfigMenu.cs	56	Button Display	按鈕顯示	按钮显示	
cfgmenu.item_n	Components/ConfigMenu.cs	254	Item {0}	第 {0} 項	第 {0} 项	$"Item {row + 1}"
cfgmenu.tab_item	Components/ConfigMenu.cs	282;283	{0}, {1}	{0}，{1}	{0}，{1}	$"{itemName}, {valueStr}" / $"{TabNames[_currentTab]}, {label}"
save.slot	Components/LoadScreenTracker.cs	132	Save slot {0}: {1}	存檔欄位 {0}：{1}	存档位 {0}：{1}	$"Save slot {slotNum}: {desc}"
save.unknown	Components/LoadScreenTracker.cs	142	unknown	未知	未知	
save.unreadable	Components/LoadScreenTracker.cs	145	unreadable	無法讀取	无法读取	
save.level	Components/LoadScreenTracker.cs	183	Level {0}	等級 {0}	等级 {0}	"Level " + ascii.Substring(lv + 3).Trim()
save.playtime_hm	Components/LoadScreenTracker.cs	242	{0} hours {1} minutes	{0} 小時 {1} 分鐘	{0} 小时 {1} 分钟	$"{h} hour{(h != 1 ? "s" : "")} {m} minute{(m != 1 ? "s" : "")}"
save.playtime_h	Components/LoadScreenTracker.cs	243	{0} hours	{0} 小時	{0} 小时	$"{h} hour{(h != 1 ? "s" : "")}"
save.playtime_m	Components/LoadScreenTracker.cs	244	{0} minutes	{0} 分鐘	{0} 分钟	$"{m} minute{(m != 1 ? "s" : "")}"
save.playtime_less_min	Components/LoadScreenTracker.cs	245	less than a minute	不到一分鐘	不到一分钟	
date.month.january	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;26;928	January	一月	一月	
date.month.february	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;26;928	February	二月	二月	
date.month.march	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;26;928	March	三月	三月	
date.month.april	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;26;928	April	四月	四月	
date.month.may	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;26;928	May	五月	五月	
date.month.june	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;26;928	June	六月	六月	
date.month.july	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;26;929	July	七月	七月	
date.month.august	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;27;929	August	八月	八月	
date.month.september	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;27;929	September	九月	九月	
date.month.october	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;27;929	October	十月	十月	
date.month.november	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;27;929	November	十一月	十一月	
date.month.december	Components/LoadScreenTracker.cs;Components/CalendarReader.cs;Components/VelvetFusion.cs	234;27;929	December	十二月	十二月	
date.weekday.sunday	Components/CalendarReader.cs	30	Sunday	星期日	星期日	
date.weekday.monday	Components/CalendarReader.cs	30	Monday	星期一	星期一	
date.weekday.tuesday	Components/CalendarReader.cs	30	Tuesday	星期二	星期二	
date.weekday.wednesday	Components/CalendarReader.cs	30	Wednesday	星期三	星期三	
date.weekday.thursday	Components/CalendarReader.cs	30	Thursday	星期四	星期四	
date.weekday.friday	Components/CalendarReader.cs	30	Friday	星期五	星期五	
date.weekday.saturday	Components/CalendarReader.cs	30	Saturday	星期六	星期六	
calendar.fusion_effect	Components/CalendarReader.cs	113	, fusion: {0}	，合體：{0}	，合体：{0}	$", fusion: {fc.Effect}"
calendar.fusion_trigger	Components/CalendarReader.cs	113	, fusion, {0}: {1}	，合體，{0}：{1}	，合体，{0}：{1}	$", fusion, {fc.Trigger}: {fc.Effect}"
